onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.13	2.6	baseline	correct	23	2.6	15.23	word	word	0.52	23.95	noninformative	22	n/a	1.0	1.5	1	n/a	22.0	numerals\23_w.png	feedback\noninformative.png	numerals\22_w.png	n/a	n/a
30.39	2.11	math	correct	128	1.5	37.8	numeric	numeric	0.5	43.0	noninformative	27	multiply	3.0	0.87	-7	5.0	135.0	numerals\128_n.png	feedback\noninformative.png	numerals\27_n.png	numerals\multiply_n.png	numerals\05_n.png
48.38	2.72	math	incorrect	-2	2.5	54.0	numeric	numeric	0.5	63.37	noninformative	12	divide	1.0	0.93	-8	2.0	6.0	numerals\-2_n.png	feedback\noninformative.png	numerals\12_n.png	numerals\divide_n.png	numerals\02_n.png
67.24	1.61	baseline	correct	20	2.2	71.47	numeric	word	0.5	79.14	informative	30	n/a	3.0	0.67	-10	n/a	30.0	numerals\20_n.png	feedback\positive.png	numerals\30_w.png	n/a	n/a
84.05	2.0	baseline	correct	26	1.92	89.67	word	numeric	0.51	95.79	informative	26	n/a	2.0	0.43	0	n/a	26.0	numerals\26_w.png	feedback\positive.png	numerals\26_n.png	n/a	n/a
100.37	2.42	math	no_response	2	2.92	105.88	numeric	numeric	0.5	113.25	informative	22	divide	n/a	n/a	0	9.0	2.4	numerals\02_n.png	feedback\negative.png	numerals\22_n.png	numerals\divide_n.png	numerals\09_n.png
116.04	2.93	math	correct	-1	1.22	121.88	word	numeric	0.51	128.47	noninformative	25	divide	3.0	1.17	-2	23.0	1.1	numerals\-1_w.png	feedback\noninformative.png	numerals\25_n.png	numerals\divide_n.png	numerals\23_n.png
134.36	2.91	math	correct	16	1.22	143.38	numeric	numeric	0.53	148.62	informative	7	multiply	1.0	1.47	2	2.0	14.0	numerals\16_n.png	feedback\positive.png	numerals\07_n.png	numerals\multiply_n.png	numerals\02_n.png
155.58	2.4	math	correct	14	2.32	163.0	numeric	word	0.51	170.94	noninformative	6	add	3.0	1.95	-1	9.0	15.0	numerals\14_n.png	feedback\noninformative.png	numerals\06_w.png	numerals\add_w.png	numerals\09_w.png
175.84	1.39	baseline	correct	38	2.22	183.75	word	word	0.5	189.85	noninformative	30	n/a	1.0	0.1	8	n/a	30.0	numerals\38_w.png	feedback\noninformative.png	numerals\30_w.png	n/a	n/a
193.95	2.1	math	correct	-7	1.82	201.85	word	word	0.51	208.49	informative	8	subtract	3.0	0.77	-1	14.0	-6.0	numerals\-7_w.png	feedback\positive.png	numerals\08_w.png	numerals\subtract_w.png	numerals\14_w.png
213.53	2.7	math	correct	9	1.4	219.15	numeric	numeric	0.51	225.46	noninformative	27	subtract	1.0	0.88	3	21.0	6.0	numerals\09_n.png	feedback\noninformative.png	numerals\27_n.png	numerals\subtract_n.png	numerals\21_n.png
231.05	2.11	math	correct	35	1.92	238.27	numeric	word	0.51	245.41	informative	12	multiply	3.0	0.48	-1	3.0	36.0	numerals\35_n.png	feedback\positive.png	numerals\12_w.png	numerals\multiply_w.png	numerals\03_w.png
250.23	1.91	math	correct	8	2.52	258.14	word	word	0.49	264.06	informative	26	subtract	3.0	0.35	-2	16.0	10.0	numerals\08_w.png	feedback\positive.png	numerals\26_w.png	numerals\subtract_w.png	numerals\16_w.png
268.23	1.52	baseline	correct	10	2.92	273.55	word	word	0.51	280.8	informative	11	n/a	3.0	0.43	-1	n/a	11.0	numerals\10_w.png	feedback\positive.png	numerals\11_w.png	n/a	n/a
288.28	1.1	math	correct	4	3.0	292.9	numeric	numeric	0.52	301.64	noninformative	19	divide	1.0	0.3	0	5.0	3.8	numerals\04_n.png	feedback\noninformative.png	numerals\19_n.png	numerals\divide_n.png	numerals\05_n.png
306.3	2.72	math	correct	55	1.0	312.04	word	word	0.51	318.18	informative	18	multiply	1.0	3.02	1	3.0	54.0	numerals\55_w.png	feedback\positive.png	numerals\18_w.png	numerals\multiply_w.png	numerals\03_w.png
324.27	1.81	math	correct	25	1.4	330.1	numeric	numeric	0.51	336.04	noninformative	14	add	3.0	0.45	-1	12.0	26.0	numerals\25_n.png	feedback\noninformative.png	numerals\14_n.png	numerals\add_n.png	numerals\12_n.png
339.6	1.6	baseline	correct	23	2.8	345.32	numeric	word	0.51	352.26	informative	20	n/a	1.0	0.47	3	n/a	20.0	numerals\23_n.png	feedback\positive.png	numerals\20_w.png	n/a	n/a
356.09	1.81	math	correct	25	1.42	362.2	word	word	0.51	367.63	noninformative	15	add	3.0	0.48	-1	11.0	26.0	numerals\25_w.png	feedback\noninformative.png	numerals\15_w.png	numerals\add_w.png	numerals\11_w.png
373.01	1.9	math	correct	25	1.2	377.82	word	numeric	0.51	382.68	noninformative	8	add	1.0	0.58	1	16.0	24.0	numerals\25_w.png	feedback\noninformative.png	numerals\08_n.png	numerals\add_n.png	numerals\16_n.png
387.2	2.01	baseline	correct	-2	1.3	393.92	word	word	0.51	402.66	informative	1	n/a	3.0	0.55	-3	n/a	1.0	numerals\-2_w.png	feedback\positive.png	numerals\01_w.png	n/a	n/a
407.33	2.31	baseline	correct	-1	2.6	413.94	numeric	numeric	0.5	421.19	noninformative	2	n/a	3.0	1.17	-3	n/a	2.0	numerals\-1_n.png	feedback\noninformative.png	numerals\02_n.png	n/a	n/a
426.19	2.2	math	incorrect	-1	2.6	433.59	word	numeric	0.52	440.93	informative	17	subtract	3.0	0.45	10	28.0	-11.0	numerals\-1_w.png	feedback\negative.png	numerals\17_n.png	numerals\subtract_n.png	numerals\28_n.png
