onset	duration	trial_type	trial_number	response_time	tap_count	tap_duration	stim_file
6.004115225	4.165373056	fingertapping	1	0.983966968	32	3.966502801	n/a
29.72112349	3.210204705	fingertapping	3	0.650486504	25	2.716348134	n/a
39.1053583	4.668543598	checkerboard	4	n/a	0	n/a	n/a
48.28800656	3.709874293	fingertapping	5	0.667039349	29	3.466829862	n/a
70.43852116	2.74976058	checkerboard	7	n/a	0	n/a	n/a
79.48844831	4.549243822	fingertapping	8	0.467124922	43	4.366529062	n/a
89.09015877	2.75176885	fingertapping	9	0.698686259	23	2.283309331	n/a
99.52257379	1.7220418819999999	checkerboard	10	n/a	0	n/a	n/a
136.07255609999999	3.0406461719999998	checkerboard	14	n/a	0	n/a	n/a
149.38951369999995	4.048161823	fingertapping	15	0.433381939	35	3.750068883	n/a
168.9064844	2.74976058	fingertapping	17	0.550108184	21	2.533226026	n/a
203.10729750000002	3.934223198	checkerboard	20	n/a	0	n/a	n/a
228.5572272	4.549243822	checkerboard	22	n/a	0	n/a	n/a
237.65731830000001	3.699530404	fingertapping	23	0.566804652	31	3.383361042	n/a
273.25772889999996	2.75176885	checkerboard	27	n/a	0	n/a	n/a
283.3587758	4.032425807	checkerboard	28	n/a	0	n/a	n/a
292.55812169999996	3.709874293	checkerboard	29	n/a	0	n/a	n/a
328.091857	2.101225569	checkerboard	32	n/a	0	n/a	n/a
338.4759557	4.032425807	fingertapping	33	0.616635954	35	3.383361042	n/a
346.8766724	3.210204705	checkerboard	34	n/a	0	n/a	n/a
361.07594900000004	4.668543598	fingertapping	35	0.61681323	41	4.28339196	n/a
373.8607281	3.934223198	fingertapping	36	0.532488073	36	3.616688837	n/a
385.0270437	1.7220418819999999	fingertapping	37	0.665885547	15	1.433317939	n/a
396.9767542	3.0406461719999998	fingertapping	38	0.533089913	41	4.216623815	n/a
405.5836123	4.048161823	checkerboard	39	n/a	0	n/a	n/a
415.293223	3.699530404	checkerboard	40	n/a	0	n/a	n/a
423.50992919999993	2.101225569	fingertapping	41	0.566841309	18	1.69997407	n/a
435.0438682	4.165373056	checkerboard	42	n/a	0	n/a	n/a
