onset	duration	trial_type	valence	trial_number	stim_file	response	response_time
2.01	5	VIEW	Neutral	1	stimuli/scarves.bmp	3	2.025
13.41	5	SUPPRESS	Negative	2	stimuli/2205.jpg	2	1.034
24.197	5	SUPPRESS	Negative	3	stimuli/9912.jpg	2	0.792
35.037	5	RETHINK	Negative	4	stimuli/2700.jpg	3	0.726
45.70399999999999	5	VIEW	Neutral	5	stimuli/spoon.bmp	3	0.992
56.411	5	SUPPRESS	Negative	6	stimuli/6250.jpg	1	1.105
67.824	5	SUPPRESS	Negative	7	stimuli/6211.jpg	1	0.636
78.42399999999999	5	VIEW	Negative	8	stimuli/9421.jpg	2	1.158
89.624	5	VIEW	Neutral	9	stimuli/mug.bmp	3	0.61
100.811	5	SUPPRESS	Negative	10	stimuli/2690.jpg	2	0.669
112.01100000000001	5	SUPPRESS	Negative	11	stimuli/2710.jpg	1	0.5820000000000001
122.691	5	SUPPRESS	Negative	12	stimuli/2490.jpg	2	0.64
134.158	5	VIEW	Neutral	13	stimuli/lamp.bmp	3	0.5920000000000001
144.905	5	VIEW	Negative	14	stimuli/9400.jpg	1	0.977
156.265	5	VIEW	Negative	15	stimuli/9007.jpg	1	1.0070000000000001
167.078	5	SUPPRESS	Negative	16	stimuli/2691.jpg	2	0.583
178.331	5	VIEW	Neutral	17	stimuli/agate2.bmp	4	0.7070000000000001
188.945	5	SUPPRESS	Negative	18	stimuli/6830.jpg	1	0.655
199.892	5	VIEW	Negative	19	stimuli/7380.jpg	1	0.62
210.945	5	SUPPRESS	Negative	20	stimuli/6571.jpg	1	0.889
221.505	5	VIEW	Neutral	21	stimuli/beads.bmp	3	0.78
232.305	5	RETHINK	Negative	22	stimuli/9622.jpg	2	0.7140000000000001
243.012	5	SUPPRESS	Negative	23	stimuli/3300.jpg	2	0.96
253.625	5	RETHINK	Negative	24	stimuli/9432.jpg	2	0.8859999999999999
264.972	5	VIEW	Neutral	25	stimuli/building2.bmp	2	0.47
276.092	5	RETHINK	Negative	26	stimuli/1321.jpg	3	0.762
286.746	5	SUPPRESS	Negative	27	stimuli/1201.jpg	2	0.674
297.586	5	SUPPRESS	Negative	28	stimuli/8230.jpg	2	0.534
308.906	5	VIEW	Neutral	29	stimuli/chair.bmp	3	0.8809999999999999
320.106	5	SUPPRESS	Negative	30	stimuli/9230.jpg	2	0.669
331.559	5	VIEW	Negative	31	stimuli/9270.jpg	2	0.653
342.786	5	SUPPRESS	Negative	32	stimuli/9530.jpg	2	0.65
353.999	5	VIEW	Neutral	33	stimuli/stool.bmp	3	0.853
364.973	5	RETHINK	Negative	34	stimuli/2751.jpg	2	0.708
375.733	5	RETHINK	Negative	35	stimuli/6312.jpg	1	0.914
387.106	5	SUPPRESS	Negative	36	stimuli/9620.jpg	2	0.7170000000000001
397.866	5	VIEW	Neutral	37	stimuli/rollingpin.bmp	3	0.777
408.81300000000005	5	SUPPRESS	Negative	38	stimuli/6940.jpg	2	0.701
419.773	5	RETHINK	Negative	39	stimuli/9041.jpg	2	0.951
431.24	5	SUPPRESS	Negative	40	stimuli/5970.jpg	2	0.8370000000000001
442.186	5	VIEW	Neutral	41	stimuli/plate.bmp	4	0.5720000000000001
